City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Biak,-0.91,122.88,81.63,71,70,8.12,ID,1595569887
Cape Town,-33.93,18.42,60.01,44,0,12.75,ZA,1595569746
Atuona,-9.8,-139.03,79.52,78,34,20.29,PF,1595569726
Kaniama,-7.57,24.18,66.67,39,0,7.85,CD,1595569887
Provideniya,64.38,-173.3,51.8,66,91,7.36,RU,1595569771
Okhotsk,59.38,143.3,62.08,73,99,12.21,RU,1595569888
Pitimbu,-7.47,-34.81,74.19,82,35,13.89,BR,1595569888
Bambous Virieux,-20.34,57.76,70.0,52,70,8.99,MU,1595569784
Lilongwe,-13.97,33.79,53.6,81,75,8.05,MW,1595569632
Dunedin,-45.87,170.5,48.99,49,68,7.0,NZ,1595569719
Verkhoyansk,67.54,133.38,85.08,28,0,6.29,RU,1595569889
Hilo,19.73,-155.09,78.8,74,90,4.7,US,1595569725
Saint-Philippe,-21.36,55.77,69.8,52,20,32.21,RE,1595569775
Mar del Plata,-38.0,-57.56,50.0,93,75,12.75,AR,1595569749
Hermanus,-34.42,19.23,62.56,41,0,7.67,ZA,1595569733
Yellowknife,62.46,-114.35,55.4,100,75,9.17,CA,1595569776
Vaini,-21.2,-175.2,73.4,88,75,9.17,TO,1595569723
Kaitangata,-46.28,169.85,46.0,61,99,15.01,NZ,1595569812
Boguchany,58.38,97.45,64.27,62,76,7.43,RU,1595569891
Ushuaia,-54.8,-68.3,37.4,86,90,23.04,AR,1595569724
Biltine,14.53,20.92,80.04,63,88,12.1,TD,1595569891
Dingle,11.0,122.67,86.88,70,100,3.44,PH,1595569726
Hasaki,35.73,140.83,82.0,83,75,5.82,JP,1595569775
Dikson,73.51,80.55,44.02,88,0,4.79,RU,1595569767
Puksoozero,62.59,40.61,56.77,88,100,6.31,RU,1595569892
Bluff,-46.6,168.33,47.75,70,98,24.81,NZ,1595569721
Rikitea,-23.12,-134.97,67.35,59,45,14.29,PF,1595569725
Maceió,-9.67,-35.74,66.2,100,40,3.36,BR,1595569773
Portland,45.52,-122.68,63.0,72,20,6.93,US,1595569600
Mataura,-46.19,168.86,41.04,79,94,5.5,NZ,1595569720
Ostrovnoy,68.05,39.51,65.23,70,98,17.78,RU,1595569777
Salalah,17.02,54.09,80.6,88,75,9.17,OM,1595569556
San Quintín,30.48,-115.95,64.29,84,0,10.18,MX,1595569893
Grindavik,63.84,-22.43,46.4,81,72,13.87,IS,1595569820
Hobart,-42.88,147.33,54.0,57,75,8.05,AU,1595569473
Lebowakgomo,-24.2,29.5,41.0,86,0,4.7,ZA,1595569894
Bredasdorp,-34.53,20.04,46.4,93,0,5.82,ZA,1595569729
Sesimbra,38.44,-9.1,64.99,77,0,16.11,PT,1595569895
Tateyama,34.98,139.87,82.4,83,75,10.29,JP,1595569895
Albany,42.6,-73.97,72.0,99,71,3.74,US,1595569613
Coquimbo,-29.95,-71.34,45.0,60,31,4.45,CL,1595569740
Castro,-24.79,-50.01,53.64,81,2,2.71,BR,1595569755
Punta Arenas,-53.15,-70.92,39.2,86,100,17.22,CL,1595569441
Nikolskoye,59.7,30.79,59.0,62,20,6.71,RU,1595569725
Matsumoto,36.23,137.97,78.8,69,75,10.29,JP,1595569896
San Patricio,19.22,-104.7,77.63,80,100,0.49,MX,1595569787
Puerto Ayora,-0.74,-90.35,66.99,96,88,8.99,EC,1595569717
Katsuura,35.13,140.3,81.0,81,100,3.0,JP,1595569741
Nyurba,63.28,118.33,81.86,46,0,2.26,RU,1595569897
Kapaa,22.08,-159.32,80.6,74,40,12.75,US,1595569759
George Town,5.41,100.34,87.8,70,40,8.05,MY,1595569762
Atlantic City,39.36,-74.42,82.4,74,1,8.05,US,1595569599
Fortuna,40.6,-124.16,55.99,93,90,8.05,US,1595569736
Talcahuano,-36.72,-73.12,37.4,93,0,4.7,CL,1595569815
Maseru,-29.32,27.48,41.04,54,0,2.51,LS,1595569680
Airai,-8.93,125.41,70.97,49,48,4.21,TL,1595569718
Beringovskiy,63.05,179.32,54.91,62,95,7.7,RU,1595569831
Clyde River,70.47,-68.59,46.4,81,90,2.24,CA,1595569784
Berlevåg,70.86,29.09,64.4,100,90,3.36,NO,1595569899
Lebu,-37.62,-73.65,43.3,76,3,4.16,CL,1595569728
Kamwenge,0.19,30.45,64.02,92,89,3.0,UG,1595569900
Hofn,64.25,-15.21,47.07,62,39,14.65,IS,1595569736
Iskateley,67.68,53.15,72.12,51,2,9.66,RU,1595569734
Hong Kong,22.29,114.16,93.2,56,20,12.75,HK,1595569535
Kirakira,-10.45,161.92,82.06,78,29,13.38,SB,1595569457
Butaritari,3.07,172.79,83.35,76,1,13.96,KI,1595569728
Cherskiy,68.75,161.3,69.24,59,0,13.49,RU,1595569727
Carnarvon,-24.87,113.63,78.8,31,0,9.17,AU,1595569770
Marabba,12.35,32.18,78.6,68,97,14.34,SD,1595569901
Kangaatsiaq,68.31,-53.46,45.32,89,71,19.62,GL,1595569902
Chui,-33.7,-53.46,63.19,95,82,8.9,UY,1595569751
Bethel,41.37,-73.41,70.0,94,1,3.31,US,1595569693
Busselton,-33.65,115.33,63.0,50,32,10.2,AU,1595569719
Port Alfred,-33.59,26.89,64.0,31,0,7.96,ZA,1595569722
Hamilton,39.18,-84.53,73.4,94,75,1.88,US,1595569693
Beloha,-25.17,45.05,65.91,61,0,16.67,MG,1595569903
Khatanga,71.97,102.5,44.29,89,100,15.68,RU,1595569757
Aksarka,66.56,67.8,63.93,52,63,11.63,RU,1595569775
Angoche,-16.23,39.91,73.17,69,34,10.8,MZ,1595569904
Saint Paul Harbor,57.79,-152.41,60.8,59,90,4.7,US,1595569788
Vaasa,63.1,21.62,53.01,81,90,10.29,FI,1595569685
Fiumicino,41.77,12.23,78.01,94,0,3.36,IT,1595569685
Vardø,70.37,31.11,64.4,68,48,4.7,NO,1595569800
Torbay,47.67,-52.73,63.0,93,90,13.87,CA,1595569814
Alofi,-19.06,-169.92,73.4,100,64,16.11,NU,1595569802
Lagoa,39.05,-27.98,68.5,76,5,6.13,PT,1595569788
Jamestown,42.1,-79.24,69.8,88,90,3.36,US,1595569592
Stroud,51.75,-2.2,59.0,93,69,1.01,GB,1595569905
Upernavik,72.79,-56.15,44.46,80,64,7.18,GL,1595569747
Punta de Bombón,-17.17,-71.79,59.38,82,97,10.31,PE,1595569906
Caceres,39.52,-6.37,70.0,60,0,1.01,ES,1595569906
Margate,51.38,1.39,64.99,85,27,11.41,GB,1595569835
Ponta do Sol,32.67,-17.1,70.0,78,0,3.49,PT,1595569752
Kavieng,-2.57,150.8,84.54,74,99,12.59,PG,1595569748
Saint-Pierre,-21.34,55.48,69.8,52,20,32.21,RE,1595569907
Menongue,-14.66,17.69,46.53,55,4,4.16,AO,1595569730
Cabo San Lucas,22.89,-109.91,84.99,67,31,4.0,MX,1595569908
