City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Biak,-0.91,122.88,81.63,71,70,8.12
Cape Town,-33.93,18.42,60.01,44,0,12.75
Atuona,-9.8,-139.03,79.52,78,34,20.29
Kaniama,-7.57,24.18,66.67,39,0,7.85
Provideniya,64.38,-173.3,51.8,66,91,7.36
Okhotsk,59.38,143.3,62.08,73,99,12.21
Pitimbu,-7.47,-34.81,74.19,82,35,13.89
Bambous Virieux,-20.34,57.76,70.0,52,70,8.99
Lilongwe,-13.97,33.79,53.6,81,75,8.05
Dunedin,-45.87,170.5,48.99,49,68,7.0
Verkhoyansk,67.54,133.38,85.08,28,0,6.29
Hilo,19.73,-155.09,78.8,74,90,4.7
Saint-Philippe,-21.36,55.77,69.8,52,20,32.21
Mar del Plata,-38.0,-57.56,50.0,93,75,12.75
Hermanus,-34.42,19.23,62.56,41,0,7.67
Yellowknife,62.46,-114.35,55.4,100,75,9.17
Vaini,-21.2,-175.2,73.4,88,75,9.17
Kaitangata,-46.28,169.85,46.0,61,99,15.01
Boguchany,58.38,97.45,64.27,62,76,7.43
Ushuaia,-54.8,-68.3,37.4,86,90,23.04
Biltine,14.53,20.92,80.04,63,88,12.1
Dingle,11.0,122.67,86.88,70,100,3.44
Hasaki,35.73,140.83,82.0,83,75,5.82
Dikson,73.51,80.55,44.02,88,0,4.79
Puksoozero,62.59,40.61,56.77,88,100,6.31
Bluff,-46.6,168.33,47.75,70,98,24.81
Rikitea,-23.12,-134.97,67.35,59,45,14.29
Maceió,-9.67,-35.74,66.2,100,40,3.36
Portland,45.52,-122.68,63.0,72,20,6.93
Mataura,-46.19,168.86,41.04,79,94,5.5
Ostrovnoy,68.05,39.51,65.23,70,98,17.78
Salalah,17.02,54.09,80.6,88,75,9.17
San Quintín,30.48,-115.95,64.29,84,0,10.18
Grindavik,63.84,-22.43,46.4,81,72,13.87
Hobart,-42.88,147.33,54.0,57,75,8.05
Lebowakgomo,-24.2,29.5,41.0,86,0,4.7
Bredasdorp,-34.53,20.04,46.4,93,0,5.82
Sesimbra,38.44,-9.1,64.99,77,0,16.11
Tateyama,34.98,139.87,82.4,83,75,10.29
Albany,42.6,-73.97,72.0,99,71,3.74
Coquimbo,-29.95,-71.34,45.0,60,31,4.45
Castro,-24.79,-50.01,53.64,81,2,2.71
Punta Arenas,-53.15,-70.92,39.2,86,100,17.22
